Date Modified,Size,ArXiv Link,Title,Authors
"Oct 27, 2024 at 9:45PM",1 MB,https://arxiv.org/abs/2404.07075,"Constraints on Inflation with Null Energy Condition Violation from
  Advanced LIGO and Advanced Virgo's First Three Observing Runs","Zu-Cheng Chen, Lang Liu"
"Oct 27, 2024 at 9:45PM",1.5 MB,https://arxiv.org/abs/2404.08375,"Detecting a Gravitational-Wave Background from Inflation with Null
  Energy Condition Violation: Prospects for Taiji","Zu-Cheng Chen, Lang Liu"
"Nov 11, 2024 at 8:27PM",793 KB,https://arxiv.org/abs/2405.02960,"Silk Damping in Scalar-Induced Gravitational Waves: A Novel Probe for
  New Physics","Yan-Heng Yu, Sai Wang"
"Nov 11, 2024 at 8:33 PM",13.6 MB,https://arxiv.org/abs/2405.06603,"Inflationary Gravitational Wave Spectral Shapes as test for Low-Scale
  Leptogenesis","Zafri A. Borboruah, Anish Ghoshal, Lekhika Malhotra, Urjit Yajnik"
"Nov 11, 2024 at 8:35 PM",1.2 MB,https://arxiv.org/abs/2405.09599,"Gravitational wave spectrum from expanding string loops on domain walls:
  Implication for nanohertz pulsar timing array signal","Yu Hamada, Wakutaka Nakano"
"Nov 11, 2024 at 8:39 PM",1.1 MB,https://arxiv.org/abs/2405.09620,Probing Reheating with Gravitational Waves from Graviton Bremsstrahlung,"Basabendu Barman, Nicolás Bernal, Simon Cléry, Yann Mambrini, Yong Xu et al."
"Nov 11, 2024 at 9:26PM",10.1 MB,https://arxiv.org/abs/2405.10937,Gravitational waves from low-scale cosmic strings,"Kai Schmitz, Tobias Schröder"
"Nov 11, 2024 at 8:50PM",631 KB,https://arxiv.org/abs/2405.11755,"Testing Gravity with Frequency-Dependent Overlap Reduction Function in
  Pulsar Timing Array","Qiuyue Liang, Ippei Obata, Misao Sasaki"
"Nov 11, 2024 at 8:53PM",788 KB,https://arxiv.org/abs/2406.02359,"Primordial gravitational wave backgrounds from phase transitions with
  next generation ground based detectors","Chiara Caprini, Oriol Pujolàs, Hippolyte Quelquejay-Leclere, Fabrizio Rompineve, Danièle A. Steer"
"Nov 11, 2024 at 8:54PM",716 KB,https://arxiv.org/abs/2406.04957,"Measuring the circular polarization of gravitational waves with pulsar
  timing arrays","N. M. Jiménez Cruz, Ameek Malhotra, Gianmassimo Tasinato, Ivonne Zavala"
"Nov 11, 2024 at 8:57PM",750 KB,https://arxiv.org/abs/2406.05081,Pulsar Timing Arrays require hierarchical models,Rutger van Haasteren
"Nov 11, 2024 at 9:28PM",1 MB,https://arxiv.org/abs/2406.10048,"The impact of a primordial gravitational wave background on LISA
  resolvable sources","Matteo Braglia, Mauro Pieroni, Sylvain Marsat"
"Nov 11, 2024 at 9:05PM",1.9 MB,https://arxiv.org/abs/2406.17053,"Revisiting evolution of domain walls and their gravitational radiation
  with CosmoLattice","I. Dankovsky, E. Babichev, D. Gorbunov, S. Ramazanov, A. Vikman"
"Nov 11, 2024 at 9:30 PM",12.9 MB,https://arxiv.org/abs/2407.02714,Primordial Gravitational Waves 2024,Deng Wang
"Nov 11, 2024 at 9:17PM",5.5 MB,https://arxiv.org/abs/2407.05686,"Joint observations of late universe probes: cosmological parameter
  constraints from gravitational wave and Type Ia supernova data","Jie Zheng, Xiao-Hui Liu, Jing-Zhao Qi"
"Nov 11, 2024 at 10:22 PM",4.8 MB,https://arxiv.org/abs/2407.07319,"The spatial correlations between pulsars for interfering sources in
  Pulsar Timing Array and evidence for gravitational-wave background in
  NANOGrav 15-year data set","Yu-Mei Wu, Yan-Chen Bi, Qing-Guo Huang"
"Nov 11, 2024 at 9:48 PM",1.1 MB,https://arxiv.org/abs/2407.07956,"Inflationary Gravitational Waves as a probe of the unknown
  post-inflationary primordial Universe","Athul K. Soman, Swagat S. Mishra, Mohammed Shafi, Soumen Basak"
"Nov 11, 2024 at 9:54PM",848 KB,https://arxiv.org/abs/2407.10071,"Primordial Gravitational Waves of Big Bounce Cosmology in Light of
  Stochastic Gravitational Wave Background",Changhong Li
"Oct 27, 2024 at 6:45PM",2.3 MB,https://arxiv.org/abs/2407.11263,"Impact of evolving dark energy on the search for primordial
  gravitational waves","Hao Wang, Gen Ye, Yun-Song Piao"
"Oct 27, 2024 at 7:10PM",1.5 MB,https://arxiv.org/abs/2407.12920,A New Probe of $μ$Hz Gravitational Waves with FRB Timing,"Zhiyao Lu, Lian-Tao Wang, Huangyu Xiao"
"Oct 27, 2024 at 7:07PM",1.5 MB,https://arxiv.org/abs/2407.18246,Probing the early universe with future GW observatories,"Suvashis Maity, Md Riajul Haque"
"Oct 27, 2024 at 7:12PM",776 KB,https://arxiv.org/abs/2408.05240,"Gravitational-Wave Tests of General Relativity with Ground-Based
  Detectors and Pulsar-Timing Arrays","Nicolas Yunes, Xavier Siemens, Kent Yagi"
"Oct 27, 2024 at 7:12PM",717 KB,https://arxiv.org/abs/2408.10166,The NANOGrav 15 yr Data Set: Running of the Spectral Index,"Gabriella Agazie, Akash Anumarlapudi, Anne M. Archibald, Zaven Arzoumanian, Jeremy George Baier et al."
"Oct 27, 2024 at 7:13PM",951 KB,https://arxiv.org/abs/2408.11774,"Testing Gravity with Realistic Gravitational Waveforms in Pulsar Timing
  Arrays","Wayne Hu, Qiuyue Liang, Meng-Xiang Lin, Mark Trodden"
